,publisher,dagger,author,isbn,price,date,title,weeks_on_list,no_of_words_title
201,Harlequin Mira,0,Ron Carr,None,0,2013-05-05,THE WANDERER,4,2
202,Jasinda Wilder,0,Jasinda Wilder,None,0,2013-04-28,FALLING INTO YOU,4,3
203,Grand Central Publishing,0,JA Redmerski,None,0,2013-04-14,THE EDGE OF NEVER,4,4
204,Penguin Group,0,Maya Banks,None,0,2013-03-17,RUSH,4,1
205,Addison Moore,0,Addison Moore,1624300006,0,2013-02-10,SOMEONE TO LOVE,4,3
206,Jessica Sorensen,0,Jessica Sorensen,None,0,2012-12-02,THE SECRET OF ELLA AND MICHA,4,6
207,Penguin Group,0,Charlaine Harris,None,0,2012-06-10,DEADLOCKED,4,1
208,Penguin Group,0,Harlan Coben,None,0,2012-04-29,STAY CLOSE,4,2
209,Barbara Freethy,0,Barbara Freethy,None,0,2012-03-18,THE SWEETEST THING,4,3
210,Random House Publishing,0,Sophie Kinsella,0440334861,0,2011-11-13,CAN YOU KEEP A SECRET?,4,5
211,Mira,0,Debbie Macomber,0778312518,0,2011-10-09,1105 YAKIMA STREET,4,3
212,HarperCollins,0,J A Jance,0061758221,0,2011-09-11,UNTIL PROVEN GUILTY,4,3
213,Simon & Schuster,0,Brad Thor,1416586768,0,2011-09-04,FULL BLACK,4,2
214,"Little, Brown",0,James Patterson and Neil McMahon,0316097373,0,2011-04-24,TOYS,4,1
215,Random House,0,Lisa Gardner,0553901133,0,2011-03-20,ALONE,4,1
216,Penguin Group,0,Tom Clancy with Grant Blackwood,None,0,2011-03-06,DEAD OR ALIVE,4,3
217,Penguin,0,Shari Lapena,0525505318,0,2018-06-09,THE COUPLE NEXT DOOR,3,4
218,St. Martin's,0,Mary Kay Andrews,1250126096,0,2018-06-09,THE HIGH TIDE CLUB,3,4
219,St. Martin's,0,Lisa Scottoline,1250099676,0,2018-05-13,AFTER ANNA,3,2
220,"Little, Brown",0,James Patterson and Candice Fox,0316513229,0,2018-03-25,FIFTY FIFTY,3,2
221,Dutton,0,Lisa Gardner,1524742066,0,2018-03-11,LOOK FOR ME,3,3
222,St. Martin's,0,JD Robb,125016155X,0,2018-03-04,DARK IN DEATH,3,3
223,Tor,0,Brandon Sanderson,076532637X,0,2017-12-17,OATHBRINGER,3,1
224,Vintage,0,Jo Nesbo,0525435921,0,2017-11-12,THE SNOWMAN,3,2
225,Scribner,0,Jennifer Egan,1476716757,0,2017-11-05,MANHATTAN BEACH,3,2
226,"Little, Brown",0,James Patterson and James O Born,031627397X,0,2017-10-22,HAUNTED,3,1
227,Viking,0,John le Carre,0735225117,0,2017-10-08,A LEGACY OF SPIES,3,4
228,St. Martin's,0,JD Robb,None,0,2017-10-08,SECRETS IN DEATH,3,3
229,"Little, Brown",0,James Patterson and Richard DiLallo,0316395455,0,2017-09-17,THE STORE,3,2
230,Scout,0,Ruth Ware,1501156004,0,2017-08-27,THE LYING GAME,3,3
231,Putnam,0,Clive Cussler and Graham Brown,0399184015,0,2017-07-02,NIGHTHAWK,3,1
232,Bantam,0,Janet Evanovich and Phoef Sutton,0553392697,0,2017-06-18,CURIOUS MINDS,3,2
233,Morrow/HarperCollins,0,Greg Iles,0062311158,0,2017-04-23,MISSISSIPPI BLOOD,3,2
234,Zebra,0,Lisa Jackson,1420136070,0,2017-04-02,EXPECTING TO DIE,3,3
235,Washington Square,0,Fredrik Backman,1501115073,0,2017-03-12,MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY,3,9
236,Ballantine,0,J P Delaney,0425285057,0,2017-02-26,THE GIRL BEFORE,3,3
237,Delacorte,0,Danielle Steel,0345531116,0,2017-02-05,THE MISTRESS,3,2
238,Berkley,0,Nora Roberts,0425280128,0,2017-01-08,ISLAND OF GLASS,3,3
239,Grand Central,0,James Patterson and Kathryn Fox,1455568139,0,2016-11-06,MISSING,3,1
240,Viking,0,Tana French,None,0,2016-11-06,THE TRESPASSER,3,2
241,"Little, Brown",0,James Patterson and Maxine Paetro,031627402X,0,2016-10-30,WOMAN OF GOD,3,3
242,Gallery Books,0,Catherine Coulter,1501150316,0,2016-09-11,INSIDIOUS,3,1
243,Delacorte,0,Danielle Steel,1101885572,0,2016-08-07,MAGIC,3,1
244,Berkley,0,Nora Roberts,042528011X,0,2016-07-17,BAY OF SIGHS,3,3
245,EverAfter Romance,0,Vi Keeland and Penelope Ward,1942215398,0,2016-05-15,STUCK-UP SUIT,3,2
246,Putnam,0,C J Box,None,0,2016-04-10,OFF THE GRID,3,3
247,Putnam,0,Clive Cussler and Justin Scott,0698406427,0,2016-04-03,THE GANGSTER,3,2
248,Bantam,0,Dean Koontz,0345545966,0,2016-01-10,ASHLEY BELL,3,2
249,Atria,0,Jennifer Weiner,1451617836,0,2015-09-13,WHO DO YOU LOVE,3,4
250,Putnam,0,Catherine Coulter,None,0,2015-08-09,NEMESIS,3,1
251,Roc,0,Jim Butcher,None,0,2014-06-29,SKIN GAME,3,2
252,Bantam,0,Janet Evanovich and Lee Goldberg,None,0,2014-03-30,THE CHASE,3,2
253,Helen Cooper,0,J S Cooper and Helen Cooper,None,0,2014-03-09,THE EX GAMES,3,3
254,HarperCollins,0,Joyce Maynard,0061957658,0,2014-02-23,LABOR DAY,3,2
255,Ecco/HarperCollins,0,Amy Tan,0062107313,0,2013-12-08,THE VALLEY OF AMAZEMENT,3,4
256,Gail McHugh,0,Gail McHugh,None,0,2013-08-11,PULSE,3,1
257,Putnam,0,Catherine Coulter,None,0,2013-08-11,BOMBSHELL,3,1
258,Hard Case Crime,0,Stephen King,1781162646,0,2013-07-07,JOYLAND,3,1
259,Broad Reach Publishing,0,Hugh Howey,None,0,2013-06-09,WOOL OMNIBUS EDITION,3,3
260,Tor/Tom Doherty Associates,0,Robert Jordan and Brandon Sanderson,1429997176,0,2013-04-28,A MEMORY OF LIGHT,3,4
