,publisher,dagger,author,isbn,price,date,contributor,title,weeks_on_list,ratings_count,reviews_count,text_reviews_count,work_ratings_count,work_reviews_count,work_text_reviews_count,average_rating
187,Delacorte,0,Danielle Steel,1101885572,0,2016-08-07,by Danielle Steel,MAGIC,3,3,13,2,6711,13559,481,3.92
188,Berkley,0,Nora Roberts,042528011X,0,2016-07-17,by Nora Roberts,BAY OF SIGHS,3,11230,23863,935,18568,37264,1245,4.15
189,Bantam,0,Dean Koontz,0345545966,0,2016-01-10,by Dean Koontz,ASHLEY BELL,3,10788,25860,1787,15952,36474,2264,3.6
190,Atria,0,Jennifer Weiner,1451617836,0,2015-09-13,by Jennifer Weiner,WHO DO YOU LOVE,3,22,41,6,35586,75149,3191,3.75
191,HarperCollins,0,Joyce Maynard,0061957658,0,2014-02-23,by Joyce Maynard,LABOR DAY,3,54,95,20,31058,60342,3394,3.58
192,Ecco/HarperCollins,0,Amy Tan,0062107313,0,2013-12-08,by Amy Tan,THE VALLEY OF AMAZEMENT,3,31709,72758,4251,38601,85588,4785,3.64
193,Hard Case Crime,0,Stephen King,1781162646,0,2013-07-07,by Stephen King,JOYLAND,3,102384,181035,10370,114769,201217,11786,3.91
194,Tor/Tom Doherty Associates,0,Robert Jordan and Brandon Sanderson,1429997176,0,2013-04-28,by Robert Jordan and Brandon Sanderson,A MEMORY OF LIGHT,3,117,176,32,106306,159176,6006,4.52
195,Simon & Schuster,0,Kyra Davis,1476711100,0,2013-04-21,by Kyra Davis,THE STRANGER,3,9760,17061,621,11483,19402,653,3.71
196,Grand Central Publishing,0,Sandra Brown,1455546348,0,2013-03-31,by Sandra Brown,MIRROR IMAGE,3,11,27,1,12926,22318,757,4.01
197,Delacorte,0,Danielle Steel,1101884037,0,2018-06-09,by Danielle Steel,THE CAST,2,209,365,24,5542,14456,441,4.0
198,Morrow,0,Dorothea Benton Frank,0062390821,0,2018-06-09,by Dorothea Benton Frank,BY INVITATION ONLY,2,849,2839,142,12047,28033,1201,3.82
199,Zebra,0,Lisa Jackson and Nancy Bush,1420136135,0,2018-05-20,by Lisa Jackson and Nancy Bush,ONE LAST BREATH,2,162,3263,43,2065,9517,208,3.91
200,Putnam,0,CJ Box,0399176624,0,2018-04-22,by C.J. Box,THE DISAPPEARED,2,5536,9554,772,10909,22267,1044,4.21
201,Delacorte,0,Danielle Steel,1101884096,0,2018-04-15,by Danielle Steel,ACCIDENTAL HEROES,2,260,462,38,7781,18398,675,4.09
202,Putnam,0,Clive Cussler and Graham Brown,0735215537,0,2018-04-08,by Clive Cussler and Graham Brown,THE RISING SEA,2,213,400,30,4542,10400,281,4.21
203,Delacorte,0,Danielle Steel,1101884002,0,2018-02-18,by Danielle Steel,FALL FROM GRACE,2,236,429,37,5960,14363,500,4.05
204,Berkley,0,Christine Feehan,0451488512,0,2018-02-18,by Christine Feehan,JUDGMENT ROAD,2,316,904,69,6817,15216,980,4.21
205,Grand Central,0,Douglas Preston and Lincoln Child,145553692X,0,2018-02-11,by Douglas Preston and Lincoln Child,CITY OF ENDLESS NIGHT,2,2,4,0,128,571,7,4.35
206,Morrow,0,Karin Slaughter,0062430262,0,2018-01-14,by Karin Slaughter,THE GOOD DAUGHTER,2,73733,159593,6359,114814,308286,9702,4.09
207,Bantam,0,Dean Koontz,0345546784,0,2017-12-03,by Dean Koontz,THE SILENT CORNER,2,43,73,18,26542,68327,2806,3.95
208,Putnam,0,Clive Cussler and Boyd Morrison,039957557X,0,2017-12-03,by Clive Cussler and Boyd Morrison,TYPHOON FURY,2,152,345,26,4840,10703,301,4.28
209,Simon & Schuster,0,Mary Higgins Clark and Alafair Burke,150117164X,0,2017-12-03,by Mary Higgins Clark and Alafair Burke,EVERY BREATH YOU TAKE,2,6091,12864,638,9793,22221,821,3.97
210,Berkley,0,Christine Feehan,0399583971,0,2017-11-19,by Christine Feehan,LEOPARD'S BLOOD,2,154,324,20,2964,7445,283,4.28
211,Knopf,0,Tom Hanks,1101946156,0,2017-11-19,by Tom Hanks,UNCOMMON TYPE,2,24748,65568,4349,31732,82998,5538,3.44
212,Delacorte,0,Danielle Steel,1101884061,0,2017-11-05,by Danielle Steel,FAIRYTALE,2,375,960,64,7215,18267,589,3.91
213,Minotaur,0,Louise Penny,1250066190,0,2017-09-24,by Louise Penny,GLASS HOUSES,2,28681,69189,4003,40061,93183,4793,4.3
214,Delacorte,0,Danielle Steel,0345531086,0,2017-07-23,by Danielle Steel,THE DUCHESS,2,4197,9118,566,8485,18572,746,4.01
215,Putnam,0,Mike Maden,0735215863,0,2017-07-09,by Mike Maden,TOM CLANCY: POINT OF CONTACT,2,268,522,41,5247,11692,347,3.99
216,Morrow,0,Dorothea Benton Frank,0062390783,0,2017-06-11,by Dorothea Benton Frank,"SAME BEACH, NEXT YEAR",2,684,2478,92,12669,28176,1145,3.55
217,Delacorte,0,Danielle Steel,110188391X,0,2017-05-28,by Danielle Steel,AGAINST ALL ODDS,2,240,474,30,6838,15818,426,4.04
218,St. Martin's,0,Lisa Scottoline,1250099587,0,2017-05-07,by Lisa Scottoline,ONE PERFECT LIE,2,25,43,13,25217,53303,2683,3.78
219,HQN,0,Linda Lael Miller,037378970X,0,2017-04-16,by Linda Lael Miller,FOREVER A HERO,2,120,776,11,1549,4215,142,4.02
220,Putnam,0,C J Box,0399176616,0,2017-04-16,by C. J. Box,VICIOUS CIRCLE,2,5292,9125,718,10372,18944,896,4.26
221,Delacorte,0,Danielle Steel,110188388X,0,2017-04-02,by Danielle Steel,DANGEROUS GAMES,2,2625,6160,323,5964,13304,429,3.87
222,Random House,0,George Saunders,0812995341,0,2017-03-12,by George Saunders,LINCOLN IN THE BARDO,2,96381,256353,15722,120369,312799,19397,3.75
223,St. MartinÃ¢ÂÂs,0,B A Paris,1250121019,0,2016-12-18,by B. A. Paris,BEHIND CLOSED DOORS,2,41,67,15,294135,616566,26049,3.95
224,Ballantine,0,Tess Gerritsen,0345543866,0,2016-08-07,by Tess Gerritsen,DIE AGAIN,2,47,101,5,22583,48790,1969,4.18
225,Putnam,0,Grant Blackwood,0399176802,0,2016-07-10,by Grant Blackwood,TOM CLANCY: DUTY AND HONOR,2,2617,5891,287,5291,11076,379,3.76
